open,high,low,close,volume,quote_volume,trades,close_datetime
42257.89,42345.65,42196.61,42230.13,637.99923,26973485.6467322,20478,2024-01-01 00:14:59.999000+01:00
42230.14,42235.09,42066.0,42181.8,614.77027,25908901.4220326,18893,2024-01-01 00:29:59.999000+01:00
42181.81,42242.95,42154.34,42241.09,215.21045,9084032.4933725,8166,2024-01-01 00:44:59.999000+01:00
42241.09,42283.59,42221.22,42283.58,242.15726,10231616.7611534,7999,2024-01-01 00:59:59.999000+01:00
42283.58,42488.09,42261.02,42488.0,431.71082,18304686.5025287,16651,2024-01-01 01:14:59.999000+01:00
42488.0,42554.57,42412.02,42419.73,392.24889,16661864.0554009,13332,2024-01-01 01:29:59.999000+01:00
42419.73,42447.82,42354.19,42441.32,319.90644,13564090.7936664,10959,2024-01-01 01:44:59.999000+01:00
42441.32,42490.74,42422.45,42475.23,127.81493,5426607.622193,6192,2024-01-01 01:59:59.999000+01:00
42475.23,42475.23,42431.65,42466.33,188.76099,8013008.2346216,7256,2024-01-01 02:14:59.999000+01:00
42466.32,42513.17,42466.32,42493.16,152.48691,6479987.3215816,6580,2024-01-01 02:29:59.999000+01:00
42493.16,42775.0,42493.16,42697.5,642.57307,27421003.4342283,27425,2024-01-01 02:44:59.999000+01:00
42697.5,42720.0,42613.56,42613.56,212.55759,9070894.3577101,9135,2024-01-01 02:59:59.999000+01:00
42613.57,42638.41,42541.1,42556.63,217.29821,9251891.0785989,9641,2024-01-01 03:14:59.999000+01:00
42556.64,42571.68,42531.1,42546.01,139.29978,5926841.6864165,5666,2024-01-01 03:29:59.999000+01:00
42546.0,42606.25,42533.0,42535.75,193.14053,8222640.1057391,7199,2024-01-01 03:44:59.999000+01:00
42535.74,42590.0,42500.0,42581.1,135.48128,5766005.102483,7357,2024-01-01 03:59:59.999000+01:00
42581.09,42586.64,42501.67,42508.24,169.14866,7197704.4604077,7426,2024-01-01 04:14:59.999000+01:00
42508.24,42508.24,42419.39,42429.47,175.84382,7466574.1955658,8860,2024-01-01 04:29:59.999000+01:00
